t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.2,0.0,0.0,32,116,0
1.5,0.0,0.0,340640,29032,17574
2.8,0.0,0.0,1021952,71642,60096
4.0,0.0,0.0,1696608,113605,101972
5.3,0.0,0.0,2354368,155522,143806
6.5,0.0,0.0,2866512,192703,180916
7.8,0.0,0.0,3454128,229798,217933
9.0,0.0,0.0,4064128,268445,256498
10.3,0.0,0.0,4680064,306403,294379
11.6,0.0,0.0,5300720,345706,333606
12.8,0.0,0.0,5906768,383308,371126
14.1,0.0,0.0,6520688,422307,410066
15.3,0.0,0.0,7152752,461702,449380
16.6,0.0,0.0,7563200,497150,484754
17.9,0.0,0.0,7496368,528160,515676
19.1,0.0,0.0,7532608,559820,547258
20.4,0.0,0.0,7539088,590739,578102
21.6,0.0,0.0,7534592,621872,609158
22.9,0.0,0.0,7580448,653468,640676
24.3,0.0,0.0,7583456,687049,674170
25.5,0.0,0.0,7582992,718581,705614
26.8,0.0,0.0,7586416,753139,740098
28.0,0.0,0.0,7589360,784604,771492
29.3,0.0,0.0,7613856,817776,804584
30.5,0.0,0.0,7771232,851675,838404
31.8,0.0,0.0,7793696,883510,870164
33.0,0.0,0.0,7854336,915098,901676
34.3,0.0,0.0,7843808,948380,934884
35.6,0.0,0.0,7840720,981275,967698
36.8,0.0,0.0,8032560,1040836,992913
38.1,0.0,0.0,7878944,1083435,1014363
39.3,0.0,0.0,7660496,1127922,1036781
40.6,0.0,0.0,7466064,1171359,1058668
41.9,0.0,0.0,7233216,1220165,1083286
43.2,0.0,0.0,7021216,1265034,1105961
44.4,0.0,0.0,6581584,1337492,1122089
45.7,0.0,0.0,6496464,1486422,1133207
47.0,0.0,0.0,6532880,1615024,1147699
48.3,0.0,0.0,5841056,1739915,1160938
49.6,0.0,0.0,4680416,1847392,1179440
50.8,0.0,0.0,3650608,1895544,1203516
