t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.2,548.5,0.0,4848,7714,99
1.5,548.5,0.0,1028752,78607,35953
2.8,548.5,0.0,2283616,157283,75714
4.0,548.5,0.0,3504832,233418,114059
5.3,548.5,0.0,4729648,310082,152717
6.5,548.5,0.0,6360304,423669,175743
7.9,548.5,0.0,6820368,570018,181392
9.2,540.5,-8.0,7965776,757581,188831
10.4,540.5,-8.0,5716096,850556,213277
11.8,540.5,-8.0,3791392,904519,235825
13.1,555.0,6.5,3357504,904519,235825
14.4,555.0,6.5,3460928,965778,235874
15.7,555.0,6.5,1906160,983008,235883
17.0,555.0,6.5,1869632,992679,235892
18.2,555.0,6.5,1909552,1000888,235899
19.5,555.0,6.5,1944048,1006464,235908
20.8,539.0,-9.5,1837104,1011976,235912
22.1,539.0,-9.5,1822128,1017154,235915
23.3,539.0,-9.5,1859888,1020445,235927
24.6,539.0,-9.5,1879744,1024349,235940
25.9,539.0,-9.5,1858672,1027548,235946
27.1,539.0,-9.5,1845728,1030280,235953
28.4,531.0,-17.5,1773456,1033306,235962
29.7,531.0,-17.5,1674352,1040856,235966
31.0,531.0,-17.5,1639120,1047153,235968
32.2,531.0,-17.5,1616672,1054151,235969
