t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.5,306.62,0.0,5136,22826,11781
2.9,306.62,0.0,1721232,124670,113457
5.4,306.62,0.0,3031568,202550,191185
7.9,306.62,0.0,4069600,279484,267971
10.4,306.62,0.0,5245808,350686,339017
12.9,306.62,0.0,5668048,412850,401017
15.3,306.62,0.0,5890928,477573,465589
17.8,306.62,0.0,6007008,539976,527833
20.3,306.62,0.0,5983024,598932,586633
22.8,306.62,0.0,6010048,659201,646736
25.2,306.62,0.0,6082608,719411,706785
27.7,306.62,0.0,6097760,779850,767073
30.2,306.62,0.0,6099760,836602,823659
32.7,306.62,0.0,6159488,891704,878590
35.2,306.62,0.0,6182608,942826,929545
37.7,306.62,0.0,6061968,994169,980727
40.2,306.62,0.0,6010096,1070121,1015322
42.7,306.62,0.0,5816416,1185937,1079629
45.1,306.62,0.0,5602288,1288453,1135076
47.6,306.62,0.0,5245840,1395289,1186603
50.1,306.62,0.0,4530144,1510137,1246699
52.7,306.62,0.0,3171632,1535043,1258441
55.2,306.62,0.0,2256528,1604799,1258504
57.7,306.62,0.0,1431696,1627055,1258523
60.2,306.62,0.0,1600832,1639957,1258547
62.7,306.62,0.0,1726960,1649944,1258563
65.2,306.62,0.0,1676048,1657833,1258585
67.8,306.62,0.0,1639904,1670460,1258603
70.3,306.62,0.0,1500768,1688214,1258626
72.8,306.62,0.0,1350288,1703348,1258630
