t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,322.62,0.0,32,115,0
2.9,322.62,0.0,1297440,98367,85813
5.3,322.62,0.0,2761184,184968,172269
7.8,322.62,0.0,3845504,252983,240130
10.2,322.62,0.0,4907008,323997,311000
12.7,322.62,0.0,5349328,387549,374401
15.2,322.62,0.0,5855440,446248,432937
17.6,322.62,0.0,6166320,508766,495291
20.1,322.62,0.0,6267552,569800,556173
22.5,322.62,0.0,6337424,629548,615757
25.0,322.62,0.0,6319360,689950,676021
27.4,322.62,0.0,6280256,746148,732067
29.9,322.62,0.0,6282688,801757,787513
32.4,322.62,0.0,6277920,856436,842026
34.8,322.62,0.0,6270832,909421,894849
37.3,322.62,0.0,6242992,958913,944180
39.7,322.62,0.0,6107696,995921,977474
42.2,322.62,0.0,6127648,1064215,1009123
44.7,322.62,0.0,6642720,1172613,1105875
47.2,322.62,0.0,7167056,1268009,1187492
49.7,322.62,0.0,7265744,1365184,1265168
52.2,322.62,0.0,7321072,1452426,1336014
54.7,322.62,0.0,7077472,1529756,1396973
57.2,322.62,0.0,7143456,1614999,1460326
59.7,322.62,0.0,7332640,1694961,1522920
62.1,322.62,0.0,7553808,1768150,1582526
64.6,322.62,0.0,7739744,1839382,1632798
67.1,322.62,0.0,7672496,1917550,1693528
69.5,322.62,0.0,7702992,1995108,1758718
72.0,322.62,0.0,7718512,2076355,1821705
74.5,322.62,0.0,7716624,2139896,1872295
