t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.5,314.62,0.0,32,111,0
2.9,314.62,0.0,1099584,84398,73764
5.4,314.62,0.0,2431712,165724,154953
7.8,314.62,0.0,3636816,240926,230008
10.3,314.62,0.0,4670384,314865,303804
12.8,314.62,0.0,5424160,381667,370441
15.3,314.62,0.0,5417200,443857,432463
17.7,314.62,0.0,5428592,508438,496884
20.2,314.62,0.0,5443280,568650,556939
22.7,314.62,0.0,5441232,626641,614773
25.1,314.62,0.0,5344560,684292,672267
27.6,314.62,0.0,5371744,740240,728051
30.0,314.62,0.0,5421200,796148,783797
32.5,314.62,0.0,5466320,848691,836179
35.0,314.62,0.0,5461872,898752,886069
37.4,314.62,0.0,5460432,949184,936327
39.9,314.62,0.0,5485008,995521,982151
42.3,314.62,0.0,5674976,1066305,1019274
44.8,314.62,0.0,5901616,1181202,1083482
47.3,314.62,0.0,6284576,1283755,1141899
49.7,314.62,0.0,5826976,1377595,1194290
52.2,314.62,0.0,5154560,1513162,1254106
54.6,314.62,0.0,4410896,1534424,1261186
57.1,314.62,0.0,3084848,1605948,1261250
59.6,314.62,0.0,2050928,1626993,1261250
62.1,314.62,0.0,2016240,1639800,1261266
64.5,314.62,0.0,2105248,1648666,1261286
67.0,314.62,0.0,2169456,1656493,1261303
69.4,314.62,0.0,2271088,1665541,1261315
71.9,314.62,0.0,2256320,1672494,1261319
