t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2256.06,0.0,3280,15011,5147
2.8,2256.06,0.0,1534480,110066,53860
5.2,2256.06,0.0,3013664,203095,101539
7.6,2256.06,0.0,4282608,278554,140298
10.0,2256.06,0.0,2799648,338137,170704
12.4,2256.06,0.0,3296688,400593,202734
14.8,2256.06,0.0,3958688,462581,234956
17.2,2256.06,0.0,4433344,529741,267464
19.6,2256.06,0.0,4456912,574918,288108
22.0,2256.06,0.0,4528960,644443,309405
24.4,2256.06,0.0,4350304,758230,331139
26.8,2256.06,0.0,3790496,858194,331177
29.2,2256.06,0.0,4052592,936388,331202
31.6,2256.06,0.0,3886944,1014505,331214
34.1,2256.06,0.0,3298496,1091706,331241
36.5,2256.06,0.0,3245648,1168666,332878
38.9,2256.06,0.0,3109504,1241862,338013
41.3,2256.06,0.0,3167824,1325500,346709
43.7,2256.06,0.0,2970352,1405319,352256
46.1,2256.06,0.0,2807360,1508463,365373
48.5,2256.06,0.0,3003616,1604169,373420
51.0,2256.06,0.0,3197488,1684637,374341
53.4,2256.06,0.0,3145184,1753855,374371
55.8,2256.06,0.0,3277520,1815023,374373
58.2,2256.06,0.0,3239168,1892838,374389
60.6,2256.06,0.0,3279568,1960590,377031
63.0,2256.06,0.0,3147200,2029728,382180
65.4,2256.06,0.0,3059936,2120941,389000
67.9,2256.06,0.0,2964720,2205991,394467
70.3,2256.06,0.0,3087376,2284930,400109
72.7,2256.06,0.0,2764064,2355041,404020
75.1,2256.06,0.0,2987072,2432728,413926
77.5,2256.06,0.0,3012224,2510528,417475
80.0,2256.06,0.0,3184176,2583166,417540
82.4,2256.06,0.0,3245584,2646226,417555
84.8,2256.06,0.0,3059648,2745761,425343
87.2,2256.06,0.0,2970432,2826892,434183
89.6,2256.06,0.0,3101824,2906013,437814
92.1,2256.06,0.0,3086096,3008233,474725
94.5,2256.06,0.0,3017584,3084295,482750
97.0,2256.06,0.0,3412384,3164113,489280
99.4,2256.06,0.0,3372656,3246506,491750
101.8,2256.06,0.0,3231232,3328988,494991
104.3,2256.06,0.0,3354272,3395128,498602
106.7,2256.06,0.0,3184816,3488545,511321
109.1,2256.06,0.0,2976992,3580311,517172
111.5,2256.06,0.0,3539216,3669317,523863
114.0,2256.06,0.0,3372288,3760823,536576
116.4,2256.06,0.0,3221072,3861444,548410
118.8,2256.06,0.0,3418176,3963126,556639
