t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,851.69,0.0,5600,14774,5161
2.8,851.69,0.0,1497680,108101,54272
5.4,851.69,0.0,4161792,323490,82720
7.8,851.69,0.0,3527392,435867,113868
10.3,851.69,0.0,3736880,500978,146652
12.7,851.69,0.0,3643168,559881,177475
15.2,851.69,0.0,3298256,600017,187620
17.6,851.69,0.0,3104416,705096,223717
20.0,1012.62,160.9,2717280,807969,223893
22.5,1094.69,243.0,2620768,894610,223923
24.9,1094.69,243.0,2881024,971776,224063
27.4,1094.69,243.0,2127392,1057558,241464
29.9,1111.19,259.5,2308976,1151580,253077
32.3,1111.19,259.5,2735040,1230881,266894
34.7,1111.19,259.5,2855136,1299648,267081
37.1,1111.19,259.5,2998672,1375219,271776
39.6,1111.19,259.5,2613344,1466304,286006
42.0,1111.19,259.5,2597248,1553921,290293
44.4,1111.19,259.5,2670384,1657420,299078
46.8,1111.19,259.5,2472400,1755979,308452
49.3,1111.19,259.5,2359216,1848062,310761
51.7,1111.19,259.5,2538176,1946501,322074
54.2,1111.19,259.5,2708368,2029451,329242
56.6,1111.19,259.5,2685968,2121770,334771
59.0,1111.19,259.5,2821008,2186157,342238
61.4,1111.19,259.5,2941312,2274936,346444
63.8,1111.19,259.5,2951168,2349954,351596
66.3,1111.19,259.5,2760912,2421725,355402
68.7,1103.19,251.5,2495568,2511128,361453
71.1,1103.19,251.5,2671248,2610109,369411
73.6,1103.19,251.5,2387104,2704916,379795
76.0,1103.19,251.5,2438944,2800212,386628
78.4,1103.19,251.5,2869248,2881935,395741
80.8,1103.19,251.5,2878032,2956557,398555
83.2,1103.19,251.5,2868528,3033263,403967
85.7,1103.19,251.5,2458608,3113305,414641
88.1,1103.19,251.5,2419296,3196504,421781
90.5,1103.19,251.5,2708512,3268812,425777
92.9,1103.19,251.5,2618960,3367418,438667
95.3,1103.19,251.5,2399792,3459636,447484
97.8,1103.19,251.5,2430944,3543467,459211
100.2,1103.19,251.5,2812944,3637325,468582
102.6,1095.19,243.5,2595200,3715496,478927
105.0,1132.12,280.4,2285136,3800273,516560
