t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2312.06,0.0,1648,14210,4747
2.7,2312.06,0.0,1466272,105125,52192
5.1,2312.06,0.0,2916592,195577,99450
7.5,2312.06,0.0,4374560,283586,145414
9.9,2312.06,0.0,5501968,355241,182753
12.3,2312.06,0.0,3700160,417618,213678
14.7,2312.06,0.0,4193584,480500,246593
17.1,2312.06,0.0,4692832,542115,278987
19.5,2312.06,0.0,4905328,640404,315326
21.9,2312.06,0.0,3464640,863376,335148
24.3,2312.06,0.0,3624544,1065109,335238
26.7,2312.06,0.0,2837760,1253760,346373
29.1,2312.06,0.0,2995808,1476835,364990
31.5,2312.06,0.0,2946976,1693381,378311
33.9,2312.06,0.0,3154640,1878422,378395
36.3,2312.06,0.0,3096576,2057213,385841
38.7,2312.06,0.0,3085584,2270793,402463
41.2,2312.06,0.0,3019104,2480273,419769
43.6,2312.06,0.0,3395776,2703606,421573
46.0,2312.06,0.0,3267408,2897336,436165
48.4,2312.06,0.0,3081696,3096397,479197
50.8,2312.06,0.0,3511312,3312085,489905
53.3,2312.06,0.0,3277936,3510083,495773
55.6,2312.06,0.0,3117344,3719997,512537
58.1,2312.06,0.0,3055408,3931001,538420
60.5,2312.06,0.0,3190736,4143246,564093
