t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,2256.06,0.0,1696,14635,4789
2.8,2256.06,0.0,1527872,109426,53537
5.1,2256.06,0.0,2912688,194115,96961
7.5,2256.06,0.0,4025648,259577,130517
9.9,2256.06,0.0,4873760,314076,158411
12.4,2256.06,0.0,3341824,370337,187202
14.8,2256.06,0.0,3653888,420371,212938
17.4,2256.06,0.0,4012304,469362,238381
19.8,2256.06,0.0,4486624,525169,265041
22.2,2256.06,0.0,4551952,570757,287926
24.7,2256.06,0.0,4960304,765442,398967
27.1,2256.06,0.0,5541328,961680,505244
29.5,2256.06,0.0,5606736,1134873,574838
31.9,2256.06,0.0,5800112,1297839,643199
34.3,2256.06,0.0,5787216,1456429,716221
36.7,2256.06,0.0,5571760,1621920,787979
39.2,2256.06,0.0,5769424,1761460,839210
41.6,2256.06,0.0,5505952,1926650,901052
44.0,2256.06,0.0,5498880,2084578,964400
46.4,2256.06,0.0,5449920,2237168,1023119
48.8,2256.06,0.0,5253568,2400816,1084180
51.2,2256.06,0.0,4718992,2559679,1160258
53.7,2256.06,0.0,5077088,2722755,1223013
56.1,2256.06,0.0,5117888,2881231,1282880
58.5,2256.06,0.0,5050272,3038069,1351877
60.9,2256.06,0.0,5145456,3208786,1428928
63.3,2256.06,0.0,4837488,3380886,1503913
