nKeys  scale  S    | seq mean    blk mean    | mean/mn | med/med | blk wins
------ ------ ---- | ----------- ----------- | ------- | ------- | --------
512    1      4    | 8.230e-07   5.807e-07   | 1.42    | 1.45    |  57%
512    1      8    | 1.315e-06   6.387e-07   | 2.06    | 2.10    |  66%
512    1      16   | 7.745e-07   3.449e-07   | 2.25    | 2.62    |  71%
512    1      32   | 8.434e-07   3.484e-07   | 2.42    | 2.47    |  72%
512    4      4    | 1.303e-06   1.341e-06   | 0.97    | 1.85    |  64%
512    4      8    | 5.456e-07   3.211e-07   | 1.70    | 2.15    |  67%
512    4      16   | 6.263e-07   3.026e-07   | 2.07    | 2.98    |  72%
512    4      32   | 7.188e-07   7.736e-07   | 0.93    | 2.85    |  74%
512    8      4    | 2.130e-07   1.995e-07   | 1.07    | 1.00    |  49%
512    8      8    | 2.098e-07   1.074e-07   | 1.95    | 1.61    |  58%
512    8      16   | 2.287e-07   1.400e-07   | 1.63    | 1.58    |  55%
512    8      32   | 2.708e-07   1.266e-07   | 2.14    | 1.31    |  54%
2048   1      4    | 3.641e-06   5.280e-05   | 0.07    | 1.63    |  61%
2048   1      8    | 1.490e-06   1.792e-06   | 0.83    | 2.21    |  69%
2048   1      16   | 5.369e-06   2.200e-06   | 2.44    | 2.69    |  76%
2048   1      32   | 1.323e-06   5.374e-07   | 2.46    | 3.55    |  80%
2048   4      4    | 1.694e-06   1.088e-06   | 1.56    | 1.42    |  58%
2048   4      8    | 9.231e-07   6.277e-07   | 1.47    | 2.14    |  68%
2048   4      16   | 1.471e-06   6.489e-07   | 2.27    | 3.59    |  79%
2048   4      32   | 1.052e-06   5.613e-07   | 1.87    | 4.14    |  80%
2048   8      4    | 3.245e-07   1.568e-07   | 2.07    | 1.49    |  58%
2048   8      8    | 3.860e-07   4.024e-07   | 0.96    | 2.03    |  62%
2048   8      16   | 3.907e-07   2.459e-07   | 1.59    | 2.11    |  64%
2048   8      32   | 3.012e-07   1.356e-07   | 2.22    | 2.09    |  65%
3900   1      4    | 3.116e-06   1.808e-06   | 1.72    | 1.72    |  66%
3900   1      8    | 1.221e-05   3.211e-06   | 3.80    | 2.12    |  67%
3900   1      16   | 4.925e-06   1.565e-06   | 3.15    | 3.01    |  76%
3900   1      32   | 3.725e-06   7.921e-07   | 4.70    | 4.40    |  83%
3900   4      4    | 2.163e-06   1.680e-06   | 1.29    | 1.70    |  65%
3900   4      8    | 4.275e-06   1.081e-06   | 3.95    | 2.49    |  73%
3900   4      16   | 2.133e-06   7.672e-07   | 2.78    | 3.57    |  78%
3900   4      32   | 6.542e-06   1.252e-06   | 5.22    | 4.42    |  85%
3900   8      4    | 6.138e-07   2.816e-07   | 2.18    | 1.50    |  58%
3900   8      8    | 1.189e-06   6.508e-07   | 1.83    | 2.04    |  64%
3900   8      16   | 6.118e-07   2.879e-07   | 2.13    | 2.56    |  67%
3900   8      32   | 5.633e-07   3.311e-07   | 1.70    | 2.17    |  67%
8000   1      4    | 6.311e-06   1.906e-06   | 3.31    | 1.72    |  67%
8000   1      8    | 6.010e-06   2.094e-06   | 2.87    | 2.28    |  73%
8000   1      16   | 2.349e-06   9.254e-07   | 2.54    | 3.27    |  76%
8000   1      32   | 3.625e-06   9.711e-07   | 3.73    | 4.61    |  84%
8000   4      4    | 2.202e-06   1.469e-06   | 1.50    | 1.91    |  69%
8000   4      8    | 4.105e-06   2.896e-06   | 1.42    | 2.30    |  75%
8000   4      16   | 2.490e-06   7.842e-07   | 3.18    | 3.55    |  81%
8000   4      32   | 4.491e-06   1.875e-06   | 2.39    | 4.15    |  82%
8000   8      4    | 5.161e-07   3.771e-07   | 1.37    | 1.38    |  57%
8000   8      8    | 5.406e-07   2.465e-07   | 2.19    | 2.08    |  64%
8000   8      16   | 4.521e-07   7.018e-07   | 0.64    | 3.00    |  72%
8000   8      32   | 7.130e-07   2.051e-07   | 3.48    | 2.84    |  70%

Error normalised by the conditioning denominator Σ|w·v|, NOT by the result.
mean/mn and med/med are seq/blk, so > 1 means BLOCKED is more accurate.
med/med is the PAIRED median (same inputs both arms); blk wins is the paired win rate.
