nKeys  scale  S    | seq mean    blk mean    | mean/mn | med/med | blk wins
------ ------ ---- | ----------- ----------- | ------- | ------- | --------
512    1      4    | 2.555e-08   1.592e-08   | 1.60    | 1.45    |  57%
512    1      8    | 2.535e-08   1.091e-08   | 2.32    | 2.10    |  66%
512    1      16   | 2.554e-08   9.028e-09   | 2.83    | 2.62    |  71%
512    1      32   | 2.534e-08   8.657e-09   | 2.93    | 2.47    |  72%
512    4      4    | 1.624e-07   8.292e-08   | 1.96    | 1.85    |  64%
512    4      8    | 1.483e-07   6.353e-08   | 2.33    | 2.15    |  67%
512    4      16   | 1.406e-07   4.977e-08   | 2.83    | 2.98    |  72%
512    4      32   | 1.478e-07   5.084e-08   | 2.91    | 2.85    |  74%
512    8      4    | 1.000e-07   6.596e-08   | 1.52    | 1.00    |  49%
512    8      8    | 1.078e-07   5.338e-08   | 2.02    | 1.61    |  58%
512    8      16   | 1.071e-07   5.425e-08   | 1.97    | 1.58    |  55%
512    8      32   | 1.054e-07   6.329e-08   | 1.66    | 1.31    |  54%
2048   1      4    | 2.746e-08   1.437e-08   | 1.91    | 1.63    |  61%
2048   1      8    | 2.605e-08   1.067e-08   | 2.44    | 2.21    |  69%
2048   1      16   | 2.462e-08   8.113e-09   | 3.03    | 2.69    |  76%
2048   1      32   | 2.802e-08   6.980e-09   | 4.01    | 3.55    |  80%
2048   4      4    | 2.342e-07   1.300e-07   | 1.80    | 1.42    |  58%
2048   4      8    | 2.292e-07   9.410e-08   | 2.44    | 2.14    |  68%
2048   4      16   | 2.439e-07   6.854e-08   | 3.56    | 3.59    |  79%
2048   4      32   | 2.416e-07   5.681e-08   | 4.25    | 4.14    |  80%
2048   8      4    | 1.510e-07   7.884e-08   | 1.92    | 1.49    |  58%
2048   8      8    | 1.463e-07   6.581e-08   | 2.22    | 2.03    |  62%
2048   8      16   | 1.405e-07   6.214e-08   | 2.26    | 2.11    |  64%
2048   8      32   | 1.462e-07   6.550e-08   | 2.23    | 2.09    |  65%
3900   1      4    | 2.839e-08   1.463e-08   | 1.94    | 1.72    |  66%
3900   1      8    | 2.429e-08   1.045e-08   | 2.32    | 2.12    |  67%
3900   1      16   | 2.709e-08   7.610e-09   | 3.56    | 3.01    |  76%
3900   1      32   | 2.696e-08   5.787e-09   | 4.66    | 4.40    |  83%
3900   4      4    | 2.880e-07   1.486e-07   | 1.94    | 1.70    |  65%
3900   4      8    | 2.937e-07   1.088e-07   | 2.70    | 2.49    |  73%
3900   4      16   | 3.251e-07   8.938e-08   | 3.64    | 3.57    |  78%
3900   4      32   | 3.060e-07   6.680e-08   | 4.58    | 4.42    |  85%
3900   8      4    | 1.855e-07   9.788e-08   | 1.90    | 1.50    |  58%
3900   8      8    | 1.731e-07   7.704e-08   | 2.25    | 2.04    |  64%
3900   8      16   | 1.686e-07   6.502e-08   | 2.59    | 2.56    |  67%
3900   8      32   | 1.800e-07   6.938e-08   | 2.59    | 2.17    |  67%
8000   1      4    | 2.639e-08   1.364e-08   | 1.93    | 1.72    |  67%
8000   1      8    | 2.672e-08   1.066e-08   | 2.51    | 2.28    |  73%
8000   1      16   | 2.450e-08   7.470e-09   | 3.28    | 3.27    |  76%
8000   1      32   | 2.683e-08   5.438e-09   | 4.93    | 4.61    |  84%
8000   4      4    | 3.772e-07   1.957e-07   | 1.93    | 1.91    |  69%
8000   4      8    | 3.811e-07   1.499e-07   | 2.54    | 2.30    |  75%
8000   4      16   | 4.076e-07   9.874e-08   | 4.13    | 3.55    |  81%
8000   4      32   | 3.627e-07   7.500e-08   | 4.84    | 4.15    |  82%
8000   8      4    | 2.026e-07   1.149e-07   | 1.76    | 1.38    |  57%
8000   8      8    | 2.020e-07   8.217e-08   | 2.46    | 2.08    |  64%
8000   8      16   | 2.103e-07   6.921e-08   | 3.04    | 3.00    |  72%
8000   8      32   | 2.086e-07   7.158e-08   | 2.91    | 2.84    |  70%

Error normalised by the conditioning denominator Σ|w·v|, NOT by the result.
mean/mn and med/med are seq/blk, so > 1 means BLOCKED is more accurate.
med/med is the PAIRED median (same inputs both arms); blk wins is the paired win rate.
