t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,619.06,0.0,32,128,0
2.8,619.06,0.0,350816,24860,12484
5.3,619.06,0.0,1402816,114526,68136
7.7,619.06,0.0,3236000,230237,136387
10.1,619.06,0.0,3620528,313448,189789
12.6,619.06,0.0,4605568,434025,251954
15.1,619.06,0.0,3973920,434922,251956
17.5,619.06,0.0,2362272,494969,298280
20.0,619.06,0.0,1482784,517354,298283
22.4,619.06,0.0,1620464,529056,298299
24.8,619.06,0.0,1684960,536812,298313
27.3,619.06,0.0,1806080,544380,298325
29.7,619.06,0.0,1881840,549619,298343
32.2,619.06,0.0,1864384,553737,298357
34.6,619.06,0.0,1773104,558166,298370
37.0,619.06,0.0,1801792,567297,298382
39.5,619.06,0.0,1691504,576957,298385
