t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,619.06,0.0,5584,10637,198
2.8,619.06,0.0,459168,33508,15637
5.2,619.06,0.0,2595232,189544,102140
7.7,619.06,0.0,4565504,315551,170463
10.2,619.06,0.0,4151328,404606,216900
12.6,619.06,0.0,5160544,498533,263101
15.0,619.06,0.0,4727968,561439,294178
17.5,619.06,0.0,3574544,627946,294274
19.9,619.06,0.0,2133904,645959,294274
22.3,619.06,0.0,1942784,656572,294274
24.8,619.06,0.0,1918192,664566,294287
27.2,619.06,0.0,1995904,670862,294306
29.6,619.06,0.0,1996496,675617,294319
32.1,619.06,0.0,1985776,680390,294332
34.5,619.06,0.0,2043280,687645,294341
36.9,619.06,0.0,2092800,693500,294343
