t_s,swap_mb,swap_delta_mb,rss_kb,faults,pageins
0.4,224.0,0.0,32,6816,0
2.8,224.0,0.0,1094080,81850,70198
5.2,224.0,0.0,2462496,165772,153964
7.6,224.0,0.0,3586368,236226,224270
10.0,224.0,0.0,4669360,307119,295022
12.4,224.0,0.0,5512880,369668,357416
14.8,224.0,0.0,5896960,426905,414490
17.2,224.0,0.0,6454176,479614,467038
19.6,224.0,0.0,6627488,531277,518538
22.0,224.0,0.0,6597360,583796,570900
24.4,224.0,0.0,6590960,636948,623896
26.8,224.0,0.0,6598096,690068,676864
29.2,224.0,0.0,6614464,739382,726026
31.6,224.0,0.0,6644592,786160,772636
34.0,224.0,0.0,6632848,829572,815880
36.4,224.0,0.0,6616624,871100,857238
38.8,224.0,0.0,6357248,912347,898318
41.2,224.0,0.0,6461296,953186,938998
43.6,224.0,0.0,6468528,991146,976786
46.0,224.0,0.0,6621984,1055427,1006409
48.4,224.0,0.0,6416944,1169706,1069265
50.8,224.0,0.0,6369792,1267513,1120253
53.2,224.0,0.0,5970016,1350920,1163480
55.6,224.0,0.0,5292800,1437159,1210782
58.0,224.0,0.0,4045984,1523147,1253311
60.4,224.0,0.0,3542992,1587096,1253371
62.8,224.0,0.0,1957376,1612072,1253371
65.2,224.0,0.0,1825520,1625369,1253389
67.6,224.0,0.0,1757280,1635043,1253401
70.0,224.0,0.0,1830096,1643044,1253428
72.5,224.0,0.0,1862752,1649564,1253446
74.9,224.0,0.0,1966128,1659372,1253453
